QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 123 :  Les especes d'actinomycetes suivantes font partie du microbiote buccal : ||  Actinomyces pyogenes |  Actinomyces gerencseriae | V: Actinomyces radicidentis |  Actinomyces actinomycetemcomitans | V: Actinomyces israelii | V: Actinomyces acidophilus | V:  Actinomyces naeslundi |  Actinomyces saprophyticus |   Actinomyces pneumoniae | V:  Actinomyces odontolyticus
QCM || Question 124 :  On peut dire des actinomycètes: ||   leur implication dans la carie dentaire n'a pas été prouvée |   ce sont des champignons filamenteux | V:  contribue a la structuration du biofilm dentaire |   sont les bactéries les plus tolérantes aux acides | V:  ce sont des bactéries filamenteuses a Gram positif | V:  sont impliqués dans les caries de la surface radiculaire | V:  ce sont des bactéries saccharo lytiques |  sont des colonisateurs fréquents des surfaces cutanées |   ne sont pas sensibles a la pénicilline | V:  forme des agrégats microbiens dans les "épis de maïs" avec d'autres espèces buccales
QCM || Question 125 :  Le contrôle des maladies carieuses peut être réalise par les méthodes suivantes : || V:  contrôle alimentaire |   contrôle du poids corporel | V:  antiseptiques oraux | V:  fluoration topique |   thérapie biologique avec S. mutans inactivé |  contrôle de la glycémie |   consommation d'alcool éthylique | V:  prophylaxie spécifique par vaccination anti-mutans |  prophylaxie spécifique avec chlorhexidine | V:   l'utilisation systémique du fluorure
QCM || Question 126 :  La prophylaxie spécifique des caries dentaires pourrait etre réalisée comme suit : ||  l'antibiothérapie est efficace pour prévenir les maladies carieuses |  vaccination contre les lactobacilles | V: immunisation passive avec des anticorps monoclonaux anti-glycosyltransférase | V: immunisation avec des anticorps contre les protéines de surface | la vaccination systémique a des effets indésirables importants | V: immunisation passive avec des anticorps préformés administrés par voie orale |  l'immunisation n'est pas efficace pour prévenir la colonisation par S. mutans |  immunisation passive avec des antigènes de surface de S. mutans | V:  immunisation systémique avec des antigènes de surface de S. mutans | V: utilisation de probiotiques oraux
QCM || Question 127 :  Les antiseptiques anti-plaque efficaces peuvent etre les suivants : || V: menthol | V: chlorure de cétylpyridine |   glutaraldéhyde |   dentocalmin |   chlorphéniramine |  eau distillée | V:  eucalyptol | V:  chlorhexidine | V:  l'hypochlorite de sodium |   bétalysine
QCM || Question 128 :  Thérapie écologique des caries dentaires : || V:  implique le remplacement des souches virulentes de S.mutans par des souches avirulentes | V:  également appelée thérapie de recolonisation |   on l'appelle aussi thérapie spécifique | V:  les souches utilisées pour la recolonisation doivent être légèrement acidogènes |   implique l'administration d'antibiotiques pour éliminer les streptocoques pathogènes |  c'est une thérapie ancienne mais qui n'a pas été utilisée jusqu'a présent pour des raisons de cout |   peut être résolu avec des antiseptiques oraux qui modifient l'équilibre écologique oral | V:  les souches productrices de bactériocines anti-mutans sont candidates a ce type de thérapie | V:  les souches utilisées pour la thérapie écologique doivent avoir une capacité de colonisation élevée |   peut être résolu par la vaccination anti-mutans
QCM || Question 129 :  Les milieux de culture pour l'isolement des streptocoques mutans doivent répondre aux exigences suivantes: || V:  la gélosé au sang est un bon milieux d'isolement | V: le milieu doit avoir un ph acide |  être des environnements aérobies |   la gélose Mac Conkey est un milieu sélectif pour les streptocoques mutans | V:  ils doivent être riches en nutriments | être des environnements anaérobies |   contenir de grandes quantités d'agar | V:  doit contenir de grandes quantités de sucres |  assurer une température adéquate | V:  ils peuvent être des milieu sélectifs
QCM || Question 130 :  Les milieux de culture pour l'isolement des lactobacilles doivent répondre aux exigences suivantes: || V: ils peuvent être des milieux sélectifs |   être des environnements aérobies | V:  La gélose MRS est un bon milieu d'isolement |   contenir de grandes quantités d'agar |   assurer une température adéquate |  être des environnements anaérobies |   la gélose Mac Conkey est un milieu sélectif pour les streptocoques mutans | V:  le milieu doit avoir un ph acide | V:  doit contenir de grandes quantités de sucres | V:  ils doivent être riches en nutriments
QCM || Question 131 :  La décontamination des instruments dentaires implique : || V:  stérilisation des instruments par chaleur humide |  contrôle périodique des paramètres physiques | V:  stérilisation en autoclave a 134 degrés |   contrôle par le test de Bowie-Dick a chaque stérilisation |  stérilisation des instruments par chaleur sèche | V:  stérilisation chimique | V:  contrôle de l'efficacité de la stérilisation par des témoins chimiques a chaque stérilisation | V:  contrôle biologique de la stérilisation |   contrôle de l'efficacité de la stérilisation par des contrôles chimiques pour chaque instrument stérilisé |   stérilisation en autoclave a 121 degrés
QCM || Question 132 :  On peut dire sur le contrôle biologique de la stérilisation en autoclave : ||   si les spores restent viables apres stérilisation elles germeront par incubation a 37 degrés | V:  l'absence de viabilité des spores signifie l'efficacité de la procédure de stérilisation |   les spores de Geobacillus atropheus sont utilisées pour contrôler la stérilisation en autoclave |   il est fabriqué avec des bactéries vivantes qui seront soumises au processus de stérilisation | V:  les spores de Geobacillus stearothermophilus sont utilisées pour contrôler la stérilisation en autoclave |  la germination des spores signifie l'efficacité de la procédure de stérilisation | V:                c’est obligatoire |   il se fait lors de l'achat de l'appareil puis périodiquement, a chaque contrôle | V:  si les spores restent viables après stérilisation elles germeront par incubation a 56 degrés | V:  se faire avec des spores vivantes qui seront soumises au processus de stérilisation
QCM || Question 133 :  A propos du diagnostic étiologique des caries dentaires : || V:   il est fait a des fins de recherche pour connaître l'étiologie de la maladie carieuse | V:   les tests de sensibilité aux antibiotiques ne sont pas nécessaires |   il est obligatoire pour chaque patient |   des tests de sensibilité sont nécessaires car les bactéries cariogenes sont devenues résistantes aux antibiotiques |  la détermination quantitative des bactéries cariogenes n'est pas utile pour contrôler la maladie carieuse |  les agents étiologiques des lésions carieuses different selon le type de carie | V:  quel que soit le type de lésion carieuse, les agents étiologiques sont similaires |  il est nécessaire pour le diagnostic de la maladie carieuse | V:  ce n'est pas fait systématiquement | V:  la détermination quantitative des bactéries cariogènes (streptocoques mutans, lactobacilles) peut être utile
QCM || Question 134 :  On peut dire de la sensibilité des agents pathogènes cariogènes aux substances antimicrobiennes : || V:  le traitement antibiotique n'est pas utile dans les maladies carieuses | V:  leur test de sensibilité n'est pas requis de routine |   l'utilisation d'antibiotiques et d'amidon empêche la multiplication des espèces cariogènes |   l'utilisation de Pénicilline est utile pour le contrôle des maladies carieuses | V:  l'utilisation d'antiseptiques et le contrôle alimentaire empêchent la multiplication des espèces cariogènes |  l'eau oxygénée est un antiseptique actif anti-mutans | V:  l'utilisation d'antiseptiques oraux est utile pour contrôler les maladies carieuses | V: la chlorhexidine est un antiseptique actif anti-mutans |   le traitement antibiotique est utile dans les maladies carieuse |  leur test de sensibilité est requis de routine
QCM || Question 135 :  A propos de la mutacine, nous pouvons dire : || V:  les souches productrices de mutacine ont une capacité de colonisation élevée | V:  est un caractère de la souche bactérienne | V:  ce sont des substances protéiques | V:  sont des bactériocines produites par Streptococcus mutans |   sont responsable de lʼapparition de mutations |  Sont antibiotiques macrolide | V:  des souches produisant des mutacines peuvent être utilisées dans la thérapie écologique des maladies carieuses |   sont enzymes digestive |   sont plasmides bactériennes libre dans le cytoplasme bactérien |   lʼespèce productrice est Staphylococcus mutans
QCM || Question 136 :  La maladie parodontale est: || V:  une maladie inflammatoire destructrice |   une maladie rare | V:  une maladie très répandue | V:  c'est une maladie chronique à évolution progressive | V:  il peut apparaître aussi bien chez les jeunes que chez les adultes | V:  affecte les structures de soutien des dents (gencive, ligaments dento-alvéolaires, os aveolaire) |  affecte les dents temporaires et permanentes |   une maladie rhumatismale |   n'apparaît qu'à l'âge adulte |  c'est une maladie qui peut être facilement contrôlée si le patient suit les instructions du dentiste
QCM || Question 137 :  Les lésions caractéristiques de la maladie parodontale sont : || V: nécrose de l'épithélium gingival |  caries dentaires explosives | V: poches parodontales | V: mobilité osseuse |  mal aux dents |  inflammation de l'os alvéolaire |  nécrose de la muqueuse buccale | V: récessions gingivales |  mobilité exagérée dans l'articulation temporo-mandibulaire | V: inflammation gingivale
QCM || Question 138 :  Les formes cliniques de la maladie parodontale peuvent être les suivantes : ||   candidose gingivale |   angine ulcéro-nécrotique | V:  abcès parodontaux | V: gingivite ulcérative nécrosante | V:  gingivite de grossesse | V:  gingivite aiguë |  parodontite toxique médicamenteuse |  gingivo-stomatite herpétique | V: parodontite ulcérative nécrosante |  herpangine
